Rank,Player,Wins,Losses,yElo
9,Francisco Cerundolo,27,12,1963.7
10,Alexander Blockx,29,11,1963.7
11,Sebastian Korda,16,7,1954.1
12,Ben Shelton,25,10,1940.7
13,Taylor Fritz,19,12,1937.5
14,Flavio Cobolli,23,14,1927.0
15,Jakub Mensik,23,11,1926.4
16,Daniil Medvedev,28,11,1921.9
17,Learner Tien,20,11,1918.0
18,Matteo Arnaldi,16,10,1916.3
19,Lorenzo Musetti,13,7,1913.3
20,Valentin Vacherot,15,9,1912.7
21,Felix Auger Aliassime,26,13,1903.6
22,Raphael Collignon,31,11,1903.1
23,Andrey Rublev,21,12,1897.7
24,Joao Fonseca,14,11,1890.7
25,Alejandro Davidovich Fokina,19,13,1890.0
26,Jiri Lehecka,20,12,1889.5
27,Juan Manuel Cerundolo,24,14,1885.7
28,Pablo Carreno Busta,24,12,1885.4
29,Alex De Minaur,24,13,1882.8
30,Hamad Medjedovic,21,10,1878.2
31,Tomas Machac,14,10,1873.1
32,Dino Prizmic,27,11,1872.1
33,Ugo Humbert,24,17,1866.1
34,Mariano Navone,21,15,1864.4
35,Novak Djokovic,9,4,1857.8
36,Luciano Darderi,22,14,1852.5
37,Brandon Nakashima,18,13,1851.3
38,Ignacio Buse,21,14,1848.9
39,Kamil Majchrzak,16,13,1843.9
40,Zizou Bergs,18,16,1822.9
41,Alex Michelsen,18,14,1820.1
42,Thiago Agustin Tirante,22,15,1813.8
43,Alejandro Tabilo,30,17,1812.2
44,Matteo Berrettini,15,12,1811.2
45,Ethan Quinn,23,17,1807.2
46,Rinky Hijikata,28,20,1800.2
47,Jack Draper,8,5,1791.2
48,Alex Molcan,23,11,1784.9
49,Andrea Pellegrino,23,14,1784.8
50,Miomir Kecmanovic,17,17,1784.6
51,Camilo Ugo Carabelli,18,15,1783.0
52,Nuno Borges,17,20,1782.7
53,Jaime Faria,34,16,1780.5
54,Pablo Llamas Ruiz,27,11,1777.5
55,Sebastian Baez,23,15,1772.4
56,Alexander Bublik,20,14,1772.2
57,Yannick Hanfmann,18,14,1771.6
58,Tomas Martin Etcheverry,21,15,1768.5
59,Fabian Marozsan,15,17,1768.2
60,Soon Woo Kwon,19,4,1764.6
61,Vit Kopriva,22,19,1761.4
62,Marin Cilic,13,12,1759.5
63,Bu Yunchaokete,17,10,1757.5
64,Eliot Spizzirri,7,5,1757.2
65,Stefanos Tsitsipas,16,14,1754.9
66,Toby Samuel,24,11,1754.0
67,Daniel Altmaier,15,20,1753.9
68,Adolfo Daniel Vallejo,32,12,1752.3
69,Daniel Merida Aguilar,29,15,1751.7
70,Hubert Hurkacz,14,15,1751.3
71,Facundo Diaz Acosta,30,12,1750.8
72,Cameron Norrie,14,14,1747.9
73,Roman Safiullin,22,10,1746.8
74,Gustavo Heide,22,12,1746.8
75,Benjamin Bonzi,24,17,1743.6
76,Jesper De Jong,20,18,1740.8
77,Jan Choinski,23,18,1740.7
78,Martin Landaluce,23,19,1739.6
79,Mattia Bellucci,24,21,1738.6
80,Titouan Droguet,24,13,1737.9
81,Karen Khachanov,14,14,1735.2
82,Adam Walton,28,20,1734.7
