Rank,Player,Wins,Losses,yElo
340,Luis Guto Miguel,5,6,1429.8
341,Aidan Mayo,4,5,1428.9
342,Niels Visker,6,7,1428.1
343,Gonzalo Villanueva,11,14,1426.2
344,Petr Bar Biryukov,14,14,1424.6
345,Franco Agamenone,15,15,1424.6
346,Olukayode Alafia Damina Ayeni,5,6,1423.9
347,Marc Polmans,5,8,1423.5
348,Paul Jubb,8,7,1421.4
349,Matteo Martineau,10,11,1421.2
350,Carlos Sanchez Jover,8,10,1421.1
351,Nicolas Mejia,16,16,1420.6
352,Michele Ribecai,7,9,1420.0
353,Gilles Arnaud Bailly,9,12,1419.6
354,Ilia Simakin,16,12,1417.9
355,Blake Ellis,12,10,1417.4
356,Alexandr Binda,4,6,1417.1
357,Karl Poling,4,5,1416.2
358,Manas Dhamne,10,12,1414.7
359,Charles Broom,8,10,1414.4
360,Ognjen Milic,10,10,1414.3
361,Marat Sharipov,6,8,1413.9
362,Philip Sekulic,6,8,1413.9
363,Miguel Damas,11,17,1412.1
364,Yanki Erel,3,3,1411.5
365,Florent Bax,14,11,1409.6
366,Beibit Zhukayev,8,10,1409.5
367,Frederico Ferreira Silva,15,17,1408.8
368,Dane Sweeny,17,14,1408.4
369,Abedallah Shelbayh,6,13,1408.3
370,Ivan Gakhov,8,8,1405.9
371,Murphy Cassone,8,16,1405.0
372,Facundo Mena,8,11,1403.7
373,Daniel Milavsky,5,6,1401.7
374,Alastair Gray,11,12,1399.1
375,Tung Lin Wu,9,10,1399.0
376,Masamichi Imamura,5,5,1397.1
377,Yi Zhou,11,12,1396.9
378,Johan Nikles,4,4,1396.6
379,Arda Azkara,3,3,1396.4
380,Johannus Monday,7,6,1395.5
381,Nicolas Moreno De Alboran,3,6,1393.5
382,Alec Beckley,3,3,1393.4
383,Franco Ribero,3,4,1392.9
384,Valerio Aboian,11,11,1390.6
385,Alejo Sanchez Quilez,4,8,1390.5
386,Radu Albot,4,6,1390.2
387,Federico Agustin Gomez,8,13,1389.7
388,George Loffhagen,4,8,1389.0
389,Oleg Prihodko,5,5,1387.9
390,Corentin Denolly,4,8,1385.9
391,Kasidit Samrej,3,5,1385.8
392,Tyler Zink,9,12,1384.7
393,Sascha Gueymard Wayenburg,8,15,1384.3
394,Dimitar Kuzmanov,9,14,1384.1
395,Mathys Erhard,9,12,1382.6
396,Hiroki Moriya,5,6,1380.4
397,Nicolas Kicker,10,15,1380.2
398,Conner Huertas Del Pino,7,7,1379.2
399,Federico Iannaccone,3,3,1377.3
400,Ivan Marrero Curbelo,5,5,1376.9
401,Federico Coria,3,5,1375.9
402,Calvin Hemery,14,14,1374.9
403,Hernan Casanova,9,8,1374.5
404,Yasutaka Uchiyama,9,9,1373.3
405,Norbert Gombos,6,11,1372.0
406,Jonas Forejtek,10,15,1369.6
407,Karim Bennani,4,5,1367.7
408,Shintaro Mochizuki,6,20,1366.5
409,Bernard Tomic,12,15,1365.7
410,Cannon Kingsley,7,9,1361.4
411,Juan Pablo Ficovich,10,14,1358.8
412,Alvaro Guillen Meza,13,16,1357.6
413,Marko Topo,3,10,1355.5
414,Maks Kasnikowski,8,12,1354.9
415,Mert Alkaya,7,7,1354.3
416,Eduardo Ribeiro,9,11,1352.7
417,Hayato Matsuoka,7,12,1351.6
418,Garrett Johns,5,9,1349.6
419,Alex Rybakov,4,10,1348.5
420,Murkel Alejandro Dellien Velasco,11,12,1347.9
421,Blaise Bicknell,9,11,1347.0
422,Svyatoslav Gulin,3,8,1346.7
423,Lorenzo Giustino,11,15,1346.6
424,Juan Estevez,7,10,1346.5
425,Miguel Tobon,6,10,1346.0
426,Dan Martin,4,7,1345.9
427,Justin Engel,6,14,1343.6
428,San Hui Sin,3,6,1342.3
429,Filip Cristian Jianu,5,11,1341.2
430,Maximus Jones,11,13,1337.9
431,Moez Echargui,5,19,1337.2
432,Akira Santillan,3,8,1335.6
433,Raphael Perot,4,8,1333.3
434,Stefan Kozlov,10,14,1331.7
435,Andrea Collarini,9,11,1331.5
436,Juan Bautista Torres,13,15,1330.3
437,Joaquin Aguilar Cardozo,4,8,1328.9
438,Patrick Zahraj,4,8,1325.2
439,Jelle Sels,3,8,1322.7
440,Juan Pablo Varillas,14,15,1321.9
441,Andres Martin,8,15,1320.8
442,Michael Geerts,8,11,1320.4
443,Ioannis Xilas,4,7,1316.5
444,Ryan Dickerson,3,5,1315.2
445,Mitchell Krueger,5,13,1314.4
446,Robert Strombachs,4,7,1314.1
447,Santiago Fa Rodriguez Taverna,8,13,1312.1
448,Alex Barrena,10,17,1312.1
449,Max Wiskandt,3,7,1310.9
450,Dan Added,5,13,1307.6
451,Carlo Alberto Caniato,3,8,1305.8
452,Denis Yevseyev,6,8,1302.5
453,Felipe Meligeni Alves,3,8,1301.3
454,Sasi Kumar Mukund,4,7,1300.6
455,Juan Alejandro Hernandez Serrano,5,9,1296.8
456,Thiago Cigarran,3,5,1296.4
457,Robin Bertrand,7,13,1295.1
458,Mitsuki Wei Kang Leong,3,6,1285.4
459,Lorenzo Joaquin Rodriguez,6,9,1283.9
460,Christian Langmo,4,9,1281.2
461,Nicolas Villalon,4,6,1279.8
462,Geoffrey Blancaneaux,3,10,1276.4
463,Daniel Dutra Da Silva,5,16,1271.2
464,Joao Eduardo Schiessl,3,10,1264.4
465,Omar Jasika,4,11,1259.9
466,Carlos Maria Zarate,4,9,1245.1
467,Pedro Sakamoto,3,13,1220.3
468,Kaichi Uchida,5,14,1216.3
469,Paulo Andre Saraiva Dos Santos,4,9,1193.8
